Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGamePPR,FantasyPointsPPR
43,Terrell Suggs,BAL,OLB,16,37,12,12,11,0,19,4,0,4,0,0,7,112
43,Cameron Heyward,PIT,DE,15,30,15,17.5,12,0,24,3,0,1,1,0,7.5,112
43,Trey Flowers,NE,DE,14,45,17,10.5,6.5,0,26,3,0,2,0,0,8,112
46,Darius Slay,DET,CB,16,54,6,1,0,0,0,26,8,0,1,0,6.9,111
47,KJ Wright,SEA,OLB,15,72,37,5.5,0,0,2,6,1,0,1,0,7.3,110
47,Harrison Smith,MIN,FS,16,61,17,7.5,1.5,0,3,12,5,0,0,0,6.9,110
47,Kwon Alexander,TB,ILB,12,70,27,7.5,0,0,3,4,3,1,0,0,9.2,110
50,Everson Griffen,MIN,DE,15,31,14,15.5,13,0,26,1,0,1,0,0,7.3,109.5
50,Jason Pierre-Paul,NYG,DE,16,47,21,12,8,0,13,5,0,2,0,0,6.8,109.5
50,Bruce Irvin,OAK,DE,16,38,20,16.5,8,0,14,3,0,4,0,0,6.8,109.5
50,Ryan Shazier,PIT,ILB,12,68,21,4,0,0,2,10,3,1,1,0,9.1,109.5
50,Tre'Davious White,BUF,CB,16,53,16,3.5,0,0,0,18,4,1,2,1,6.8,109.5
55,Brandon Graham,PHI,DE,15,33,14,18,9.5,0,14,2,0,2,1,1,7.2,108
56,Karlos Dansby,ARI,ILB,16,74,21,6,1,0,5,4,1,0,1,0,6.7,107.5
57,Sean Lee,DAL,OLB,11,70,31,13,0,0,1,1,1,1,0,0,9.7,106.5
58,Carlos Dunlap,CIN,DE,16,35,11,11.5,7.5,0,23,7,1,0,0,1,6.6,106
59,Nigel Bradham,PHI,OLB,15,61,27,5.5,1,0,3,8,0,1,1,1,7,105
59,Jarrad Davis,DET,ILB,14,65,31,4.5,2,0,4,3,1,1,1,0,7.5,105
61,Devin McCourty,NE,FS,16,79,17,3,1,0,1,5,1,0,1,0,6.5,104.5
61,Benardrick McKinney,HOU,ILB,16,62,33,10,3,0,9,1,0,0,0,0,6.5,104.5
61,Myles Jack,JAX,ILB,16,65,24,6.5,2,0,5,3,0,0,1,1,6.5,104.5
64,Eric Weddle,BAL,FS,16,49,14,3,1,0,2,8,6,2,1,1,6.5,104
64,Akiem Hicks,CHI,DE,16,39,14,16,8.5,0,19,0,0,0,2,0,6.5,104
64,Jamal Adams,NYJ,SS,16,63,20,10,2,0,2,6,0,1,2,0,6.5,104
64,Desmond King,LAC,CB,16,65,10,6,4,0,6,5,1,0,0,1,6.5,104
68,Ezekiel Ansah,DET,DE,14,39,5,15,12,0,17,0,0,1,1,0,7.4,103.5
68,Micah Hyde,BUF,SS,16,65,17,2,0,0,0,13,5,0,0,0,6.5,103.5
70,Mark Barron,LAR,ILB,14,72,13,7.5,1,0,2,4,3,0,0,0,7.4,103
70,Daniel Sorensen,KC,FS,15,67,22,6,1.5,0,7,6,1,0,0,0,6.9,103
72,DJ Swearinger,WAS,FS,16,62,17,4,1,0,1,10,4,1,0,0,6.4,102.5
73,Matthias Farley,IND,SS,16,58,38,3,0,0,3,7,2,1,1,0,6.4,102
74,Patrick Chung,NE,SS,16,71,12,3,0,0,3,9,1,0,2,0,6.3,101
74,Barry Church,JAX,SS,16,58,16,3,1.5,0,3,8,4,0,0,1,6.3,101
74,Danny Trevathan,CHI,ILB,12,61,30,3,2,0,4,5,1,1,1,0,8.4,101
74,Tyrann Mathieu,ARI,FS,16,69,8,6,1,0,4,7,2,1,0,0,6.3,101
78,Preston Smith,WAS,OLB,16,31,11,11,8,0,21,4,2,1,1,0,6.3,100.5
78,Eddie Jackson,CHI,SS,16,55,17,1,0,0,0,6,2,1,3,2,6.3,100.5
80,Craig Robertson,NO,ILB,16,53,26,7,2,0,2,6,2,1,2,0,6.2,100
81,Lorenzo Alexander,BUF,OLB,16,57,13,7,3,0,13,1,0,3,0,0,6.2,99.5
81,Jahleel Addae,LAC,FS,16,66,30,9.5,0.5,0,1,7,0,0,0,0,6.2,99.5
83,Darqueze Dennard,CIN,CB,16,61,24,2,2,0,2,6,2,0,0,1,6.2,99
83,James Bradberry,CAR,CB,16,66,19,2.5,1,0,1,9,2,1,0,0,6.2,99
85,Jason McCourty,CLE,CB,14,54,11,4,0,0,0,14,3,2,0,1,7,98.5
85,Jurrell Casey,TEN,DT,16,41,19,13,6,0,19,1,0,1,0,0,6.2,98.5
85,Vonn Bell,NO,SS,16,62,21,6,4.5,0,6,2,0,1,0,0,6.2,98.5
88,TJ Watt,PIT,OLB,15,40,14,11,7,0,12,8,1,1,0,0,6.5,98
89,De'Vondre Campbell,ATL,OLB,16,61,31,4,2,0,6,4,0,1,0,0,6.1,97.5
90,Jon Bostic,IND,ILB,14,57,41,8.5,1,0,3,3,0,0,1,0,6.9,97
90,Travis Carrie,OAK,CB,16,70,14,4,0,0,1,9,0,0,2,0,6.1,97
92,Deforest Buckner,SF,DT,16,45,16,7.5,3,0,22,5,0,1,0,0,6,96.5
92,Adoree` Jackson,TEN,CB,16,61,9,1.5,0,0,0,17,0,3,0,0,6,96.5
94,Avery Williamson,TEN,ILB,16,52,40,6,3,0,4,2,0,2,0,0,6,96
94,Kyle Van Noy,NE,LB,13,58,15,8.5,5.5,0,9,2,0,0,0,0,7.4,96
96,Christian Jones,CHI,OLB,16,60,29,5.5,2,0,3,2,0,1,1,0,5.9,95
97,Marcus Peters,KC,CB,14,42,4,2,0,0,0,9,5,4,2,1,6.7,94
97,Mike Hilton,PIT,CB,16,45,15,10.5,4,0,8,6,2,1,0,0,5.9,94
99,Mario Addison,CAR,DE,16,27,17,13,11,0,16,1,0,2,0,0,5.8,93.5
99,Patrick Onwuasor,BAL,OLB,16,67,23,4,1,0,1,2,0,1,1,0,5.8,93.5
101,Trumaine Johnson,LAR,CB,16,57,8,0,0,0,0,14,2,1,1,1,5.8,93
101,Kyle Fuller,CHI,CB,16,59,8,2,0,0,0,22,2,0,0,0,5.8,93
103,James Burgess,CLE,ILB,14,45,28,13.5,4,0,6,3,0,1,0,0,6.6,92.5
104,Earl Thomas,SEA,FS,14,56,32,1,0,0,0,7,2,0,0,1,6.6,92
105,Clay Matthews,GB,OLB,15,29,15,11,8,0,19,3,0,1,1,0,6.1,91.5
105,Kenny Vaccaro,NO,SS,12,48,12,7.5,1.5,0,2,7,3,0,1,1,7.6,91.5
105,Tre Boston,LAC,FS,16,56,23,1,0,0,0,8,5,0,0,0,5.7,91.5
108,Michael Bennett,SEA,DE,16,25,15,16.5,8.5,0,24,1,0,0,0,0,5.7,91
108,Jabaal Sheard,IND,DE,16,37,15,9.5,6.5,0,15,3,0,2,0,0,5.7,91
108,Dontae Johnson,SF,CB,16,69,8,2,0,0,0,7,1,0,0,1,5.7,91
108,Antonio Morrison,IND,ILB,15,65,43,3.5,0,0,0,1,0,0,0,0,6.1,91
112,AJ Bouye,JAX,CB,16,53,3,0,0,0,0,18,6,0,0,0,5.7,90.5
112,Marshon Lattimore,NO,CB,13,43,9,1,0,0,0,18,5,1,0,1,7,90.5
114,Julius Peppers,CAR,DE,16,21,12,12,11,0,17,0,0,2,2,0,5.6,90
114,Ramon Humber,BUF,OLB,13,59,28,8,1,0,3,1,0,1,0,0,6.9,90
114,Buster Skrine,NYJ,CB,15,56,7,2.5,1,0,2,9,1,2,2,0,6,90
114,Deone Bucannon,ARI,OLB,12,58,24,4,1,0,2,3,1,2,0,0,7.5,90
118,Mike Adams,CAR,FS,16,48,21,1,0,0,2,10,2,2,2,0,5.6,89.5
118,Zach Cunningham,HOU,OLB,16,48,40,7.5,1.5,0,2,6,0,1,0,0,5.6,89.5
120,Malcolm Jenkins,PHI,SS,16,60,13,3.5,1,0,2,8,2,0,1,0,5.6,89
120,Tony Jefferson,BAL,SS,16,55,23,7.5,2.5,0,5,2,1,0,0,0,5.6,89
120,Ha'Sean Clinton-Dix,GB,FS,16,65,14,2,0,0,0,6,3,0,0,0,5.6,89
120,Jalen Ramsey,JAX,CB,16,52,11,2.5,0,0,0,17,4,0,0,0,5.6,89
124,Gerald McCoy,TB,DT,15,33,13,14,6,0,22,1,0,0,0,0,5.9,88.5
124,Adrian Amos,CHI,FS,13,61,7,6,0,0,0,3,1,1,1,1,6.8,88.5
124,Karl Joseph,OAK,SS,15,58,21,4,1,0,1,4,1,1,1,0,5.9,88.5
124,Budda Baker,ARI,SS,16,53,16,4.5,1,0,3,6,0,3,1,0,5.5,88.5
128,Chris Jones,KC,DE,16,23,11,10.5,6.5,0,14,7,1,4,0,0,5.5,88
129,Geno Atkins,CIN,DT,16,29,17,11,8.5,0,19,0,0,1,0,0,5.5,87.5
129,Jeff Heath,DAL,SS,15,60,7,2,0,0,0,5,3,2,0,0,5.8,87.5
129,Jalen Mills,PHI,CB,15,51,13,1,0,0,0,14,3,0,0,1,5.8,87.5
132,Cameron Wake,MIA,DE,16,25,10,10,9.5,0,26,0,0,0,0,0,5.4,87
132,Kareem Jackson,HOU,SS,16,54,18,4,1,0,2,10,1,1,0,0,5.4,87
132,Byron Jones,DAL,CB,16,55,25,3.5,0,0,2,5,1,0,0,1,5.4,87
135,Reggie Nelson,OAK,FS,16,60,28,1.5,0,0,0,5,1,1,0,0,5.4,86.5
